"Plot Title: slicemsNEW"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21186437, SEN S/N: 20898458)","Rain, in (LGR S/N: 21186437, SEN S/N: 20914545)","Wetness, % (LGR S/N: 21186437, SEN S/N: 21182997)"
37,02/17/23 08:00:47 PM,37.942,0.000,4.12
38,02/17/23 08:15:47 PM,37.656,0.000,4.12
39,02/17/23 08:30:47 PM,37.609,0.000,4.12
40,02/17/23 08:45:47 PM,37.130,0.000,3.53
41,02/17/23 09:00:47 PM,36.651,0.000,4.12
42,02/17/23 09:15:47 PM,36.169,0.000,4.12
43,02/17/23 09:30:47 PM,35.879,0.000,4.12
44,02/17/23 09:45:47 PM,35.541,0.000,4.12
45,02/17/23 10:00:47 PM,35.443,0.000,4.12
46,02/17/23 10:15:47 PM,35.055,0.000,4.12
47,02/17/23 10:30:47 PM,34.371,0.000,4.12
48,02/17/23 10:45:47 PM,34.124,0.000,4.71
49,02/17/23 11:00:47 PM,33.485,0.000,4.71
50,02/17/23 11:15:47 PM,33.485,0.000,4.71
51,02/17/23 11:30:47 PM,33.879,0.000,4.71
52,02/17/23 11:45:47 PM,34.174,0.000,4.71
53,02/18/23 12:00:47 AM,33.879,0.000,5.29
54,02/18/23 12:15:47 AM,33.138,0.000,4.71
55,02/18/23 12:30:47 AM,32.990,0.000,4.71
56,02/18/23 12:45:47 AM,32.691,0.000,32.35
57,02/18/23 01:00:47 AM,32.293,0.000,54.12
58,02/18/23 01:15:47 AM,32.243,0.000,28.24
59,02/18/23 01:30:47 AM,32.193,0.000,6.47
60,02/18/23 01:45:47 AM,32.193,0.000,15.29
61,02/18/23 02:00:47 AM,31.892,0.000,44.71
62,02/18/23 02:15:47 AM,31.087,0.000,27.65
63,02/18/23 02:30:47 AM,30.783,0.000,87.65
64,02/18/23 02:45:47 AM,30.682,0.000,85.29
65,02/18/23 03:00:47 AM,30.276,0.000,77.06
66,02/18/23 03:15:47 AM,30.580,0.000,100.00
67,02/18/23 03:30:47 AM,30.173,0.000,100.00
68,02/18/23 03:45:47 AM,30.225,0.000,100.00
69,02/18/23 04:00:47 AM,31.440,0.000,52.94
70,02/18/23 04:15:47 AM,32.342,0.000,7.06
71,02/18/23 04:30:47 AM,32.742,0.000,7.06
72,02/18/23 04:45:47 AM,32.990,0.000,6.47
73,02/18/23 05:00:47 AM,32.990,0.000,5.88
74,02/18/23 05:15:47 AM,33.188,0.000,7.06
75,02/18/23 05:30:47 AM,33.039,0.000,7.06
76,02/18/23 05:45:47 AM,32.940,0.000,7.06
77,02/18/23 06:00:47 AM,33.138,0.000,7.65
78,02/18/23 06:15:47 AM,32.990,0.000,57.65
79,02/18/23 06:30:47 AM,32.043,0.000,20.00
80,02/18/23 06:45:47 AM,31.842,0.000,84.12
81,02/18/23 07:00:47 AM,31.289,0.000,100.00
82,02/18/23 07:15:47 AM,30.682,0.000,100.00
83,02/18/23 07:30:47 AM,30.987,0.000,51.18
84,02/18/23 07:45:47 AM,32.243,0.000,6.47
85,02/18/23 08:00:47 AM,33.287,0.000,5.88
86,02/18/23 08:15:47 AM,34.124,0.000,5.88
87,02/18/23 08:30:47 AM,34.174,0.000,5.29
88,02/18/23 08:45:47 AM,35.152,0.000,4.71
89,02/18/23 09:00:47 AM,36.603,0.000,4.71
90,02/18/23 09:15:47 AM,37.130,0.000,4.71
91,02/18/23 09:30:47 AM,37.416,0.000,4.12
92,02/18/23 09:45:47 AM,38.984,0.000,4.71
93,02/18/23 10:00:47 AM,40.485,0.000,4.12
94,02/18/23 10:15:47 AM,40.532,0.000,4.12
95,02/18/23 10:30:47 AM,41.369,0.000,4.12
96,02/18/23 10:45:47 AM,41.925,0.000,4.12
97,02/18/23 11:00:47 AM,42.570,0.000,4.12
98,02/18/23 11:15:47 AM,42.708,0.000,4.12
99,02/18/23 11:30:47 AM,43.306,0.000,4.12
100,02/18/23 11:45:47 AM,44.082,0.000,4.12
101,02/18/23 12:00:47 PM,44.991,0.000,4.12
102,02/18/23 12:15:47 PM,46.076,0.000,4.12
103,02/18/23 12:30:47 PM,46.031,0.000,4.12
104,02/18/23 12:45:47 PM,47.199,0.000,4.12
105,02/18/23 01:00:47 PM,46.436,0.000,4.12
106,02/18/23 01:15:47 PM,47.019,0.000,4.12
107,02/18/23 01:30:47 PM,47.826,0.000,4.12
108,02/18/23 01:45:47 PM,48.049,0.000,4.12
109,02/18/23 02:00:47 PM,48.272,0.000,4.12
110,02/18/23 02:15:47 PM,47.602,0.000,4.12
111,02/18/23 02:30:47 PM,46.841,0.000,4.12
112,02/18/23 02:45:47 PM,46.974,0.000,4.12
113,02/18/23 03:00:47 PM,47.199,0.000,4.12
114,02/18/23 03:15:47 PM,47.647,0.000,4.12
115,02/18/23 03:30:47 PM,47.602,0.000,4.12
116,02/18/23 03:45:47 PM,47.289,0.000,4.12
117,02/18/23 04:00:47 PM,47.244,0.000,4.12
118,02/18/23 04:15:47 PM,46.526,0.000,4.12
119,02/18/23 04:30:47 PM,45.851,0.000,4.12
120,02/18/23 04:45:47 PM,45.444,0.000,4.12
121,02/18/23 05:00:47 PM,45.217,0.000,4.12
122,02/18/23 05:15:47 PM,44.218,0.000,4.71
123,02/18/23 05:30:47 PM,43.122,0.000,4.71
124,02/18/23 05:45:47 PM,42.478,0.000,5.29
125,02/18/23 06:00:47 PM,41.878,0.000,5.29
126,02/18/23 06:15:47 PM,41.416,0.000,5.29
127,02/18/23 06:30:47 PM,41.369,0.000,4.71
128,02/18/23 06:45:47 PM,41.322,0.000,4.71
129,02/18/23 07:00:47 PM,41.184,0.000,5.29
130,02/18/23 07:15:47 PM,40.532,0.000,5.88
131,02/18/23 07:30:47 PM,40.158,0.000,5.88
132,02/18/23 07:45:47 PM,40.017,0.000,5.88
133,02/18/23 08:00:47 PM,40.064,0.000,5.88
134,02/18/23 08:15:47 PM,40.251,0.000,5.88
135,02/18/23 08:30:47 PM,40.064,0.000,5.88
136,02/18/23 08:45:47 PM,40.392,0.000,5.88
137,02/18/23 09:00:47 PM,40.251,0.000,6.47
138,02/18/23 09:15:47 PM,39.360,0.000,100.00
139,02/18/23 09:30:47 PM,38.226,0.000,100.00
140,02/18/23 09:45:47 PM,38.084,0.000,100.00
141,02/18/23 10:00:47 PM,39.596,0.000,89.41
142,02/18/23 10:15:47 PM,40.017,0.000,82.94
143,02/18/23 10:30:47 PM,39.454,0.000,100.00
144,02/18/23 10:45:47 PM,39.830,0.000,12.35
145,02/18/23 11:00:47 PM,40.251,0.000,15.29
146,02/18/23 11:15:47 PM,39.596,0.000,100.00
147,02/18/23 11:30:47 PM,38.226,0.000,100.00
148,02/18/23 11:45:47 PM,37.798,0.000,100.00
149,02/19/23 12:00:47 AM,37.465,0.000,100.00
150,02/19/23 12:15:47 AM,37.656,0.000,100.00
151,02/19/23 12:30:47 AM,37.942,0.000,100.00
152,02/19/23 12:45:47 AM,38.273,0.000,100.00
153,02/19/23 01:00:47 AM,38.131,0.000,100.00
154,02/19/23 01:15:47 AM,37.369,0.000,100.00
155,02/19/23 01:30:47 AM,36.072,0.000,100.00
156,02/19/23 01:45:47 AM,35.152,0.000,100.00
157,02/19/23 02:00:47 AM,34.907,0.000,100.00
158,02/19/23 02:15:47 AM,35.492,0.000,100.00
159,02/19/23 02:30:47 AM,35.541,0.000,100.00
160,02/19/23 02:45:47 AM,35.879,0.000,100.00
161,02/19/23 03:00:47 AM,36.266,0.000,100.00
162,02/19/23 03:15:47 AM,36.986,0.000,100.00
163,02/19/23 03:30:47 AM,37.560,0.000,100.00
164,02/19/23 03:45:47 AM,37.893,0.000,100.00
165,02/19/23 04:00:47 AM,38.415,0.000,100.00
166,02/19/23 04:15:47 AM,37.656,0.000,100.00
167,02/19/23 04:30:47 AM,36.651,0.000,100.00
168,02/19/23 04:45:47 AM,36.698,0.000,100.00
169,02/19/23 05:00:47 AM,36.169,0.000,100.00
170,02/19/23 05:15:47 AM,35.733,0.000,100.00
171,02/19/23 05:30:47 AM,35.733,0.000,100.00
172,02/19/23 05:45:47 AM,36.410,0.000,100.00
173,02/19/23 06:00:47 AM,36.651,0.000,100.00
174,02/19/23 06:15:47 AM,36.266,0.000,100.00
175,02/19/23 06:30:47 AM,36.459,0.000,100.00
176,02/19/23 06:45:47 AM,36.266,0.000,100.00
177,02/19/23 07:00:47 AM,35.733,0.000,100.00
178,02/19/23 07:15:47 AM,35.395,0.000,100.00
179,02/19/23 07:30:47 AM,35.346,0.000,100.00
180,02/19/23 07:45:47 AM,35.492,0.000,100.00
181,02/19/23 08:00:47 AM,36.410,0.000,100.00
182,02/19/23 08:15:47 AM,37.798,0.000,100.00
183,02/19/23 08:30:47 AM,39.549,0.000,100.00
184,02/19/23 08:45:47 AM,40.626,0.000,81.76
185,02/19/23 09:00:47 AM,40.485,0.000,5.29
186,02/19/23 09:15:47 AM,41.508,0.000,4.71
187,02/19/23 09:30:47 AM,43.716,0.000,4.71
188,02/19/23 09:45:47 AM,45.262,0.000,4.71
189,02/19/23 10:00:47 AM,45.761,0.000,4.71
190,02/19/23 10:15:47 AM,46.886,0.000,4.71
191,02/19/23 10:30:47 AM,47.647,0.000,4.71
192,02/19/23 10:45:47 AM,49.294,0.000,4.12
193,02/19/23 11:00:47 AM,49.338,0.000,4.12
194,02/19/23 11:15:47 AM,50.533,0.000,4.12
195,02/19/23 11:30:47 AM,51.501,0.000,4.12
196,02/19/23 11:45:47 AM,50.002,0.000,4.12
197,02/19/23 12:00:47 PM,47.826,0.000,4.12
198,02/19/23 12:15:47 PM,49.294,0.000,4.12
199,02/19/23 12:30:47 PM,51.589,0.000,4.12
200,02/19/23 12:45:47 PM,51.852,0.000,4.12
201,02/19/23 01:00:47 PM,50.576,0.000,4.12
202,02/19/23 01:15:47 PM,50.488,0.000,4.12
203,02/19/23 01:30:47 PM,51.105,0.000,4.12
204,02/19/23 01:45:47 PM,51.413,0.000,4.12
205,02/19/23 02:00:47 PM,51.325,0.000,4.12
206,02/19/23 02:15:47 PM,49.471,0.000,4.12
207,02/19/23 02:30:47 PM,49.294,0.000,4.12
208,02/19/23 02:45:47 PM,49.383,0.000,4.12
209,02/19/23 03:00:47 PM,49.294,0.000,3.53
210,02/19/23 03:15:47 PM,49.294,0.000,4.12
211,02/19/23 03:30:47 PM,49.294,0.000,4.12
212,02/19/23 03:45:47 PM,48.717,0.000,4.12
213,02/19/23 04:00:47 PM,48.538,0.000,4.12
214,02/19/23 04:15:47 PM,48.004,0.000,4.12
215,02/19/23 04:30:47 PM,46.481,0.000,4.12
216,02/19/23 04:45:47 PM,44.856,0.000,4.71
217,02/19/23 05:00:47 PM,44.537,0.000,4.71
218,02/19/23 05:15:47 PM,43.534,0.000,5.29
219,02/19/23 05:30:47 PM,42.433,0.000,7.06
220,02/19/23 05:45:47 PM,41.463,0.000,12.94
221,02/19/23 06:00:47 PM,40.532,0.000,35.88
222,02/19/23 06:15:47 PM,39.970,0.000,34.71
223,02/19/23 06:30:47 PM,39.220,0.000,91.18
224,02/19/23 06:45:47 PM,38.511,0.000,84.12
225,02/19/23 07:00:47 PM,37.751,0.000,91.18
226,02/19/23 07:15:47 PM,37.560,0.000,82.35
227,02/19/23 07:30:47 PM,37.513,0.000,75.88
228,02/19/23 07:45:47 PM,37.321,0.000,100.00
229,02/19/23 08:00:47 PM,37.656,0.000,91.18
230,02/19/23 08:15:47 PM,38.037,0.000,87.65
231,02/19/23 08:30:47 PM,38.273,0.000,100.00
232,02/19/23 08:45:47 PM,38.037,0.000,85.29
233,02/19/23 09:00:47 PM,38.322,0.000,99.41
234,02/19/23 09:15:47 PM,38.179,0.000,100.00
235,02/19/23 09:30:47 PM,37.942,0.000,100.00
236,02/19/23 09:45:47 PM,37.798,0.000,100.00
237,02/19/23 10:00:47 PM,37.702,0.000,100.00
238,02/19/23 10:15:47 PM,37.369,0.000,100.00
239,02/19/23 10:30:47 PM,36.698,0.000,100.00
240,02/19/23 10:45:47 PM,36.554,0.000,100.00
241,02/19/23 11:00:47 PM,35.928,0.000,100.00
242,02/19/23 11:15:47 PM,35.733,0.000,100.00
243,02/19/23 11:30:47 PM,36.120,0.000,100.00
244,02/19/23 11:45:47 PM,36.025,0.000,100.00
245,02/20/23 12:00:47 AM,35.492,0.000,100.00
246,02/20/23 12:15:47 AM,35.152,0.000,100.00
247,02/20/23 12:30:47 AM,35.395,0.000,100.00
248,02/20/23 12:45:47 AM,34.858,0.000,100.00
249,02/20/23 01:00:47 AM,35.055,0.000,100.00
250,02/20/23 01:15:47 AM,35.346,0.000,100.00
251,02/20/23 01:30:47 AM,35.298,0.000,100.00
252,02/20/23 01:45:47 AM,35.200,0.000,100.00
253,02/20/23 02:00:47 AM,35.443,0.000,100.00
254,02/20/23 02:15:47 AM,34.907,0.000,100.00
255,02/20/23 02:30:47 AM,33.978,0.000,100.00
256,02/20/23 02:45:47 AM,33.879,0.000,100.00
257,02/20/23 03:00:47 AM,34.124,0.000,100.00
258,02/20/23 03:15:47 AM,34.810,0.000,100.00
259,02/20/23 03:30:47 AM,35.103,0.000,100.00
260,02/20/23 03:45:47 AM,34.419,0.000,100.00
261,02/20/23 04:00:47 AM,33.534,0.000,100.00
262,02/20/23 04:15:47 AM,33.435,0.000,100.00
263,02/20/23 04:30:47 AM,33.237,0.000,100.00
264,02/20/23 04:45:47 AM,33.386,0.000,100.00
265,02/20/23 05:00:47 AM,33.584,0.000,100.00
266,02/20/23 05:15:47 AM,33.138,0.000,100.00
267,02/20/23 05:30:47 AM,32.293,0.000,100.00
268,02/20/23 05:45:47 AM,32.542,0.000,100.00
269,02/20/23 06:00:47 AM,32.491,0.000,100.00
270,02/20/23 06:15:47 AM,32.293,0.000,100.00
271,02/20/23 06:30:47 AM,32.443,0.000,100.00
272,02/20/23 06:45:47 AM,33.732,0.000,100.00
273,02/20/23 07:00:47 AM,34.124,0.000,100.00
274,02/20/23 07:15:47 AM,34.907,0.000,100.00
275,02/20/23 07:30:47 AM,34.320,0.000,100.00
276,02/20/23 07:45:47 AM,33.978,0.000,100.00
277,02/20/23 08:00:47 AM,35.055,0.000,100.00
278,02/20/23 08:15:47 AM,36.505,0.000,100.00
279,02/20/23 08:30:47 AM,37.942,0.000,100.00
280,02/20/23 08:45:47 AM,39.173,0.000,100.00
281,02/20/23 09:00:47 AM,37.465,0.000,100.00
282,02/20/23 09:15:47 AM,39.924,0.000,83.53
283,02/20/23 09:30:47 AM,41.230,0.000,93.53
284,02/20/23 09:45:47 AM,43.122,0.000,51.18
285,02/20/23 10:00:47 AM,44.400,0.000,27.06
286,02/20/23 10:15:47 AM,45.082,0.000,20.00
287,02/20/23 10:30:47 AM,46.571,0.000,16.47
288,02/20/23 10:45:47 AM,46.571,0.000,9.41
289,02/20/23 11:00:47 AM,47.512,0.000,8.24
290,02/20/23 11:15:47 AM,47.736,0.000,4.71
291,02/20/23 11:30:47 AM,47.019,0.000,4.71
292,02/20/23 11:45:47 AM,47.512,0.000,4.71
293,02/20/23 12:00:47 PM,49.782,0.000,4.71
294,02/20/23 12:15:47 PM,50.445,0.000,4.71
295,02/20/23 12:30:47 PM,53.209,0.000,4.71
296,02/20/23 12:45:47 PM,53.776,0.000,4.71
297,02/20/23 01:00:47 PM,52.686,0.000,4.12
298,02/20/23 01:15:47 PM,52.686,0.000,4.71
299,02/20/23 01:30:47 PM,52.597,0.000,4.12
300,02/20/23 01:45:47 PM,53.341,0.000,4.12
301,02/20/23 02:00:47 PM,52.641,0.000,4.71
302,02/20/23 02:15:47 PM,52.992,0.000,4.12
303,02/20/23 02:30:47 PM,51.544,0.000,4.71
304,02/20/23 02:45:47 PM,52.291,0.000,4.12
305,02/20/23 03:00:47 PM,52.072,0.000,4.71
306,02/20/23 03:15:47 PM,52.160,0.000,4.12
307,02/20/23 03:30:47 PM,51.895,0.000,4.12
308,02/20/23 03:45:47 PM,51.458,0.000,4.71
309,02/20/23 04:00:47 PM,50.533,0.000,4.71
310,02/20/23 04:15:47 PM,49.428,0.000,4.71
311,02/20/23 04:30:47 PM,48.762,0.000,4.71
312,02/20/23 04:45:47 PM,48.004,0.000,4.71
313,02/20/23 05:00:47 PM,47.199,0.000,5.29
314,02/20/23 05:15:47 PM,46.796,0.000,5.29
315,02/20/23 05:30:47 PM,46.526,0.000,5.29
316,02/20/23 05:45:47 PM,45.579,0.000,81.76
317,02/20/23 06:00:47 PM,44.856,0.000,100.00
318,02/20/23 06:15:47 PM,44.492,0.000,100.00
319,02/20/23 06:30:47 PM,44.355,0.000,100.00
320,02/20/23 06:45:47 PM,44.400,0.000,100.00
321,02/20/23 07:00:47 PM,43.808,0.000,100.00
322,02/20/23 07:15:47 PM,44.037,0.000,100.00
323,02/20/23 07:30:47 PM,43.945,0.000,100.00
324,02/20/23 07:45:47 PM,44.127,0.000,100.00
325,02/20/23 08:00:47 PM,44.856,0.000,55.88
326,02/20/23 08:15:47 PM,44.946,0.000,33.53
327,02/20/23 08:30:47 PM,44.445,0.000,12.94
328,02/20/23 08:45:47 PM,44.537,0.000,10.59
329,02/20/23 09:00:47 PM,44.218,0.000,9.41
330,02/20/23 09:15:47 PM,43.853,0.000,8.82
331,02/20/23 09:30:47 PM,43.579,0.000,10.00
332,02/20/23 09:45:47 PM,43.214,0.000,100.00
333,02/20/23 10:00:47 PM,42.708,0.000,100.00
334,02/20/23 10:15:47 PM,42.247,0.000,100.00
335,02/20/23 10:30:47 PM,42.017,0.000,100.00
336,02/20/23 10:45:47 PM,41.925,0.008,100.00
337,02/20/23 11:00:47 PM,41.925,0.000,100.00
338,02/20/23 11:15:47 PM,41.925,0.000,100.00
339,02/20/23 11:30:47 PM,41.925,0.000,100.00
340,02/20/23 11:45:47 PM,41.925,0.016,100.00
341,02/21/23 12:00:47 AM,41.878,0.016,100.00
342,02/21/23 12:15:47 AM,41.832,0.016,100.00
343,02/21/23 12:30:47 AM,41.832,0.008,100.00
344,02/21/23 12:45:47 AM,41.878,0.008,100.00
345,02/21/23 01:00:47 AM,41.970,0.031,100.00
346,02/21/23 01:15:47 AM,42.064,0.031,100.00
347,02/21/23 01:30:47 AM,42.109,0.016,100.00
348,02/21/23 01:45:47 AM,42.156,0.039,100.00
349,02/21/23 02:00:47 AM,42.156,0.039,100.00
350,02/21/23 02:15:47 AM,42.156,0.031,100.00
351,02/21/23 02:30:47 AM,42.202,0.008,100.00
352,02/21/23 02:45:47 AM,42.109,0.000,100.00
353,02/21/23 03:00:47 AM,41.648,0.008,100.00
354,02/21/23 03:15:47 AM,41.137,0.000,100.00
355,02/21/23 03:30:47 AM,40.672,0.000,100.00
356,02/21/23 03:45:47 AM,40.298,0.000,100.00
357,02/21/23 04:00:47 AM,38.889,0.000,100.00
358,02/21/23 04:15:47 AM,38.273,0.000,100.00
359,02/21/23 04:30:47 AM,38.511,0.000,100.00
360,02/21/23 04:45:47 AM,38.368,0.000,100.00
361,02/21/23 05:00:47 AM,37.893,0.000,100.00
362,02/21/23 05:15:47 AM,37.560,0.000,100.00
363,02/21/23 05:30:47 AM,37.321,0.000,100.00
364,02/21/23 05:45:47 AM,37.130,0.000,100.00
365,02/21/23 06:00:47 AM,36.891,0.008,100.00
366,02/21/23 06:15:47 AM,36.795,0.000,100.00
367,02/21/23 06:30:47 AM,36.651,0.000,100.00
368,02/21/23 06:45:47 AM,36.505,0.000,100.00
369,02/21/23 07:00:47 AM,36.217,0.000,100.00
370,02/21/23 07:15:47 AM,35.976,0.000,100.00
371,02/21/23 07:30:47 AM,35.879,0.008,100.00
372,02/21/23 07:45:47 AM,35.830,0.000,100.00
373,02/21/23 08:00:47 AM,35.879,0.000,100.00
374,02/21/23 08:15:47 AM,35.685,0.000,100.00
375,02/21/23 08:30:47 AM,35.830,0.000,100.00
376,02/21/23 08:45:47 AM,36.217,0.000,100.00
377,02/21/23 09:00:47 AM,37.081,0.000,100.00
378,02/21/23 09:15:47 AM,36.651,0.000,100.00
379,02/21/23 09:30:47 AM,36.939,0.000,100.00
380,02/21/23 09:45:47 AM,37.081,0.000,100.00
381,02/21/23 10:00:47 AM,36.554,0.000,100.00
382,02/21/23 10:15:47 AM,36.120,0.016,100.00
383,02/21/23 10:30:47 AM,34.075,0.016,100.00
384,02/21/23 10:45:47 AM,34.565,0.000,100.00
385,02/21/23 11:00:47 AM,34.516,0.016,100.00
386,02/21/23 11:15:47 AM,34.810,0.024,100.00
387,02/21/23 11:30:47 AM,35.928,0.000,100.00
388,02/21/23 11:45:47 AM,35.879,0.016,100.00
389,02/21/23 12:00:47 PM,34.858,0.016,100.00
390,02/21/23 12:15:47 PM,34.075,0.024,100.00
391,02/21/23 12:30:47 PM,34.713,0.016,100.00
392,02/21/23 12:45:47 PM,33.978,0.016,100.00
393,02/21/23 01:00:47 PM,34.124,0.016,100.00
394,02/21/23 01:15:47 PM,35.395,0.000,100.00
395,02/21/23 01:30:47 PM,35.249,0.000,100.00
396,02/21/23 01:45:47 PM,35.638,0.000,100.00
397,02/21/23 02:00:47 PM,35.830,0.008,100.00
398,02/21/23 02:15:47 PM,37.225,0.000,100.00
399,02/21/23 02:30:47 PM,37.416,0.000,91.76
400,02/21/23 02:45:47 PM,36.217,0.008,100.00
401,02/21/23 03:00:47 PM,33.584,0.016,100.00
402,02/21/23 03:15:47 PM,33.386,0.016,100.00
403,02/21/23 03:30:47 PM,33.879,0.008,100.00
404,02/21/23 03:45:47 PM,33.879,0.008,100.00
405,02/21/23 04:00:47 PM,33.732,0.008,100.00
406,02/21/23 04:15:47 PM,33.534,0.008,100.00
407,02/21/23 04:30:47 PM,34.075,0.008,100.00
408,02/21/23 04:45:47 PM,33.336,0.008,100.00
409,02/21/23 05:00:47 PM,33.879,0.000,100.00
410,02/21/23 05:15:47 PM,33.879,0.000,100.00
411,02/21/23 05:30:47 PM,34.174,0.000,100.00
412,02/21/23 05:45:47 PM,33.831,0.000,100.00
413,02/21/23 06:00:47 PM,33.681,0.000,100.00
414,02/21/23 06:15:47 PM,33.336,0.000,100.00
415,02/21/23 06:30:47 PM,32.392,0.000,100.00
416,02/21/23 06:45:47 PM,32.243,0.000,100.00
417,02/21/23 07:00:47 PM,32.293,0.000,100.00
418,02/21/23 07:15:47 PM,32.243,0.000,100.00
419,02/21/23 07:30:47 PM,32.243,0.000,100.00
420,02/21/23 07:45:47 PM,32.293,0.000,100.00
421,02/21/23 08:00:47 PM,32.193,0.000,100.00
422,02/21/23 08:15:47 PM,32.193,0.000,100.00
423,02/21/23 08:30:47 PM,32.142,0.000,100.00
424,02/21/23 08:45:47 PM,32.193,0.000,100.00
425,02/21/23 09:00:47 PM,32.142,0.000,100.00
426,02/21/23 09:15:47 PM,32.043,0.000,100.00
427,02/21/23 09:30:47 PM,31.892,0.000,100.00
428,02/21/23 09:45:47 PM,31.942,0.000,100.00
429,02/21/23 10:00:47 PM,32.092,0.000,100.00
430,02/21/23 10:15:47 PM,32.043,0.000,100.00
431,02/21/23 10:30:47 PM,32.043,0.000,100.00
432,02/21/23 10:45:47 PM,32.092,0.000,100.00
433,02/21/23 11:00:47 PM,32.092,0.000,100.00
434,02/21/23 11:15:47 PM,32.043,0.000,100.00
435,02/21/23 11:30:47 PM,31.993,0.000,100.00
436,02/21/23 11:45:47 PM,32.043,0.000,100.00
437,02/22/23 12:00:47 AM,32.043,0.000,100.00
438,02/22/23 12:15:47 AM,31.942,0.000,100.00
439,02/22/23 12:30:47 AM,31.892,0.000,100.00
440,02/22/23 12:45:47 AM,31.842,0.000,100.00
441,02/22/23 01:00:47 AM,31.842,0.000,100.00
442,02/22/23 01:15:47 AM,31.743,0.000,100.00
443,02/22/23 01:30:47 AM,31.743,0.000,100.00
444,02/22/23 01:45:47 AM,31.440,0.000,100.00
445,02/22/23 02:00:47 AM,31.591,0.000,100.00
446,02/22/23 02:15:47 AM,31.642,0.000,100.00
447,02/22/23 02:30:47 AM,31.591,0.000,100.00
448,02/22/23 02:45:47 AM,31.541,0.000,100.00
449,02/22/23 03:00:47 AM,31.440,0.000,100.00
450,02/22/23 03:15:47 AM,31.440,0.000,100.00
451,02/22/23 03:30:47 AM,31.390,0.000,100.00
452,02/22/23 03:45:47 AM,31.390,0.000,100.00
453,02/22/23 04:00:47 AM,31.339,0.000,100.00
454,02/22/23 04:15:47 AM,31.390,0.000,100.00
455,02/22/23 04:30:47 AM,31.339,0.000,100.00
456,02/22/23 04:45:47 AM,31.289,0.000,100.00
457,02/22/23 05:00:47 AM,31.188,0.000,100.00
458,02/22/23 05:15:47 AM,31.188,0.000,100.00
459,02/22/23 05:30:47 AM,31.138,0.000,100.00
460,02/22/23 05:45:47 AM,31.037,0.000,100.00
461,02/22/23 06:00:47 AM,31.037,0.000,100.00
462,02/22/23 06:15:47 AM,31.087,0.000,100.00
463,02/22/23 06:30:47 AM,31.087,0.000,100.00
464,02/22/23 06:45:47 AM,31.087,0.000,100.00
465,02/22/23 07:00:47 AM,31.037,0.000,100.00
466,02/22/23 07:15:47 AM,31.087,0.000,100.00
467,02/22/23 07:30:47 AM,31.087,0.000,100.00
468,02/22/23 07:45:47 AM,31.138,0.000,100.00
469,02/22/23 08:00:47 AM,31.239,0.000,100.00
470,02/22/23 08:15:47 AM,31.339,0.000,100.00
471,02/22/23 08:30:47 AM,31.390,0.000,100.00
472,02/22/23 08:45:47 AM,32.043,0.000,100.00
473,02/22/23 09:00:47 AM,31.692,0.000,100.00
474,02/22/23 09:15:47 AM,31.993,0.000,100.00
