"Plot Title: SLICE-2"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 9992071, LBL: C 50cm)","Rain, in (LGR S/N: 9956743, SEN S/N: 10093633, LBL: rain>)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10400451, LBL: AIR 2m)","RH, % (LGR S/N: 9956743, SEN S/N: 10400451, LBL: RH 2m)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10407856, LBL: SOIL 50cm)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10407859, LBL: SOIL 10cm)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10407860, LBL: AIR 3m)","Temp, °F (LGR S/N: 9956743, SEN S/N: 10462346, LBL: air-1M)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584345, LBL: B-10)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584346, LBL: B-50)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584347, LBL: A-10)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584348, LBL: A-50)","Water Content, m³/m³ (LGR S/N: 9956743, SEN S/N: 10584349, LBL: C-10)"
28,12/03/21 02:30:00 AM,0.3092,0.000,41.925,98.500,51.193,53.209,42.109,42.017,0.2994,0.3282,0.3069,0.3441,0.3223
29,12/03/21 03:00:00 AM,0.3092,0.000,42.109,98.800,51.193,53.209,42.202,42.294,0.2994,0.3282,0.3066,0.3441,0.3223
30,12/03/21 03:30:00 AM,0.3087,0.000,42.064,99.000,51.193,53.166,42.156,42.294,0.2990,0.3286,0.3066,0.3441,0.3223
31,12/03/21 04:00:00 AM,0.3087,0.000,41.322,99.100,51.193,53.121,41.416,41.648,0.2994,0.3282,0.3066,0.3437,0.3223
32,12/03/21 04:30:00 AM,0.3087,0.000,40.345,99.400,51.193,53.121,40.532,40.672,0.2990,0.3282,0.3066,0.3437,0.3223
33,12/03/21 05:00:00 AM,0.3087,0.000,40.298,99.500,51.237,53.078,40.438,40.485,0.2990,0.3282,0.3066,0.3432,0.3223
34,12/03/21 05:30:00 AM,0.3084,0.000,40.345,99.600,51.237,53.035,40.438,40.532,0.2990,0.3282,0.3066,0.3437,0.3223
35,12/03/21 06:00:00 AM,0.3084,0.000,40.392,99.700,51.237,53.035,40.438,40.719,0.2990,0.3282,0.3066,0.3427,0.3223
36,12/03/21 06:30:00 AM,0.3084,0.000,39.924,99.900,51.237,52.992,40.064,40.064,0.2990,0.3282,0.3066,0.3432,0.3223
37,12/03/21 07:00:00 AM,0.3084,0.000,39.454,100.000,51.237,52.947,39.596,39.783,0.2990,0.3282,0.3062,0.3427,0.3223
38,12/03/21 07:30:00 AM,0.3084,0.000,38.889,100.000,51.237,52.903,39.031,39.360,0.2990,0.3277,0.3066,0.3432,0.3223
39,12/03/21 08:00:00 AM,0.3080,0.000,39.267,100.000,51.237,52.860,39.407,39.407,0.2990,0.3277,0.3062,0.3427,0.3223
40,12/03/21 08:30:00 AM,0.3080,0.000,39.173,100.000,51.282,52.860,39.502,39.643,0.2990,0.3277,0.3062,0.3427,0.3223
41,12/03/21 09:00:00 AM,0.3080,0.000,40.298,100.000,51.282,52.860,40.532,40.672,0.2990,0.3274,0.3062,0.3422,0.3223
42,12/03/21 09:30:00 AM,0.3080,0.000,40.858,100.000,51.282,52.817,41.322,41.184,0.2990,0.3277,0.3062,0.3422,0.3223
43,12/03/21 10:00:00 AM,0.3080,0.000,45.127,99.900,51.282,52.772,45.579,43.579,0.2990,0.3277,0.3062,0.3427,0.3223
44,12/03/21 10:30:00 AM,0.3077,0.000,46.931,98.500,51.282,52.772,46.571,47.334,0.2990,0.3277,0.3062,0.3427,0.3223
45,12/03/21 11:00:00 AM,0.3077,0.008,44.355,96.100,51.325,52.729,44.492,44.991,0.2990,0.3274,0.3062,0.3422,0.3223
46,12/03/21 11:30:00 AM,0.3077,0.000,45.354,95.300,51.282,52.686,45.489,46.436,0.2990,0.3274,0.3062,0.3422,0.3223
47,12/03/21 12:00:00 PM,0.3077,0.000,47.914,93.200,51.282,52.729,47.109,48.004,0.2990,0.3274,0.3062,0.3422,0.3223
48,12/03/21 12:30:00 PM,0.3072,0.000,48.405,91.700,51.325,52.729,47.647,48.583,0.2990,0.3274,0.3062,0.3418,0.3223
49,12/03/21 01:00:00 PM,0.3072,0.000,46.256,92.200,51.325,52.729,46.256,47.109,0.2990,0.3269,0.3062,0.3418,0.3219
50,12/03/21 01:30:00 PM,0.3072,0.000,47.871,90.900,51.325,52.729,47.512,47.826,0.2987,0.3269,0.3058,0.3418,0.3219
51,12/03/21 02:00:00 PM,0.3069,0.000,45.669,92.100,51.325,52.772,46.076,45.669,0.2987,0.3269,0.3058,0.3418,0.3219
52,12/03/21 02:30:00 PM,0.3069,0.000,45.399,92.900,51.325,52.772,46.211,44.991,0.2987,0.3269,0.3058,0.3418,0.3219
53,12/03/21 03:00:00 PM,0.3069,0.000,44.400,93.700,51.325,52.772,44.856,44.173,0.2987,0.3269,0.3062,0.3412,0.3219
54,12/03/21 03:30:00 PM,0.3069,0.000,43.763,94.500,51.325,52.772,44.218,43.671,0.2987,0.3265,0.3058,0.3418,0.3219
55,12/03/21 04:00:00 PM,0.3066,0.000,43.167,95.500,51.325,52.817,43.579,42.984,0.2987,0.3265,0.3058,0.3412,0.3219
56,12/03/21 04:30:00 PM,0.3066,0.000,43.763,96.500,51.282,52.772,43.945,43.900,0.2987,0.3269,0.3058,0.3412,0.3219
57,12/03/21 05:00:00 PM,0.3066,0.000,43.214,97.100,51.282,52.729,43.306,43.259,0.2987,0.3269,0.3058,0.3408,0.3219
58,12/03/21 05:30:00 PM,0.3066,0.000,42.800,97.500,51.282,52.729,42.892,42.984,0.2987,0.3265,0.3058,0.3408,0.3219
59,12/03/21 06:00:00 PM,0.3062,0.000,41.230,97.800,51.237,52.686,41.322,41.369,0.2987,0.3265,0.3062,0.3408,0.3219
60,12/03/21 06:30:00 PM,0.3062,0.000,41.601,98.100,51.237,52.686,41.787,41.787,0.2987,0.3265,0.3058,0.3408,0.3219
61,12/03/21 07:00:00 PM,0.3062,0.000,40.672,98.500,51.282,52.686,40.811,41.090,0.2984,0.3265,0.3054,0.3408,0.3219
62,12/03/21 07:30:00 PM,0.3062,0.000,40.579,98.700,51.282,52.641,40.764,40.951,0.2984,0.3265,0.3054,0.3408,0.3216
63,12/03/21 08:00:00 PM,0.3062,0.000,40.204,99.000,51.282,52.641,40.392,40.485,0.2987,0.3265,0.3058,0.3408,0.3219
64,12/03/21 08:30:00 PM,0.3058,0.000,40.392,99.200,51.282,52.597,40.438,40.764,0.2984,0.3265,0.3054,0.3403,0.3216
65,12/03/21 09:00:00 PM,0.3058,0.000,40.111,99.400,51.282,52.597,40.345,40.251,0.2984,0.3265,0.3058,0.3403,0.3219
66,12/03/21 09:30:00 PM,0.3058,0.000,40.064,99.600,51.282,52.554,40.204,40.251,0.2984,0.3265,0.3054,0.3403,0.3219
67,12/03/21 10:00:00 PM,0.3058,0.000,39.970,99.800,51.282,52.509,40.158,40.438,0.2984,0.3261,0.3054,0.3403,0.3216
68,12/03/21 10:30:00 PM,0.3058,0.000,39.877,99.800,51.237,52.466,40.064,40.298,0.2979,0.3265,0.3054,0.3403,0.3216
69,12/03/21 11:00:00 PM,0.3058,0.000,40.017,100.000,51.282,52.466,40.158,40.298,0.2984,0.3265,0.3054,0.3399,0.3216
70,12/03/21 11:30:00 PM,0.3054,0.000,40.064,100.000,51.237,52.423,40.251,40.392,0.2984,0.3261,0.3054,0.3403,0.3216
71,12/04/21 12:00:00 AM,0.3054,0.000,39.313,100.000,51.237,52.378,39.407,39.736,0.2984,0.3261,0.3054,0.3399,0.3216
72,12/04/21 12:30:00 AM,0.3054,0.000,38.653,100.000,51.282,52.378,38.748,39.031,0.2984,0.3256,0.3051,0.3399,0.3216
73,12/04/21 01:00:00 AM,0.3054,0.008,38.084,100.000,51.237,52.335,38.273,38.179,0.2984,0.3256,0.3054,0.3399,0.3216
74,12/04/21 01:30:00 AM,0.3051,0.000,37.416,100.000,51.237,52.291,37.656,37.513,0.2979,0.3261,0.3051,0.3399,0.3216
75,12/04/21 02:00:00 AM,0.3051,0.000,37.130,100.000,51.237,52.246,37.416,37.274,0.2979,0.3261,0.3051,0.3393,0.3216
76,12/04/21 02:30:00 AM,0.3051,0.000,35.685,100.000,51.237,52.203,35.879,35.830,0.2979,0.3256,0.3051,0.3399,0.3216
77,12/04/21 03:00:00 AM,0.3051,0.000,35.830,100.000,51.237,52.160,36.313,35.879,0.2979,0.3261,0.3051,0.3393,0.3216
78,12/04/21 03:30:00 AM,0.3051,0.000,34.810,100.000,51.237,52.115,35.200,34.907,0.2979,0.3261,0.3048,0.3393,0.3216
79,12/04/21 04:00:00 AM,0.3051,0.000,34.858,100.000,51.237,52.072,35.249,34.761,0.2976,0.3256,0.3051,0.3393,0.3216
80,12/04/21 04:30:00 AM,0.3048,0.000,36.795,100.000,51.237,52.029,37.179,35.976,0.2976,0.3256,0.3051,0.3393,0.3216
81,12/04/21 05:00:00 AM,0.3048,0.000,36.120,100.000,51.237,51.940,36.554,35.733,0.2976,0.3256,0.3051,0.3393,0.3211
82,12/04/21 05:30:00 AM,0.3048,0.000,35.589,100.000,51.237,51.895,36.169,35.589,0.2976,0.3256,0.3051,0.3389,0.3216
83,12/04/21 06:00:00 AM,0.3048,0.000,36.120,100.000,51.237,51.852,36.891,36.072,0.2976,0.3256,0.3051,0.3393,0.3211
84,12/04/21 06:30:00 AM,0.3043,0.000,36.217,100.000,51.237,51.764,36.554,36.217,0.2976,0.3252,0.3051,0.3389,0.3216
85,12/04/21 07:00:00 AM,0.3043,0.000,36.698,100.000,51.237,51.721,36.986,36.842,0.2976,0.3252,0.3051,0.3389,0.3216
86,12/04/21 07:30:00 AM,0.3043,0.000,37.513,100.000,51.237,51.678,37.702,37.751,0.2976,0.3256,0.3051,0.3389,0.3216
87,12/04/21 08:00:00 AM,0.3043,0.000,40.017,100.000,51.237,51.633,40.438,39.970,0.2976,0.3252,0.3054,0.3389,0.3211
88,12/04/21 08:30:00 AM,0.3043,0.000,39.360,100.000,51.282,51.589,39.596,39.690,0.2976,0.3252,0.3048,0.3384,0.3216
89,12/04/21 09:00:00 AM,0.3043,0.000,40.345,100.000,51.282,51.589,40.485,40.719,0.2976,0.3252,0.3051,0.3389,0.3211
90,12/04/21 09:30:00 AM,0.3043,0.000,41.277,100.000,51.282,51.544,41.416,41.648,0.2976,0.3252,0.3051,0.3384,0.3216
91,12/04/21 10:00:00 AM,0.3040,0.000,42.156,100.000,51.282,51.544,42.109,42.663,0.2976,0.3252,0.3051,0.3384,0.3211
92,12/04/21 10:30:00 AM,0.3040,0.000,42.156,100.000,51.282,51.501,42.202,42.570,0.2976,0.3252,0.3048,0.3380,0.3211
93,12/04/21 11:00:00 AM,0.3040,0.000,43.122,100.000,51.282,51.501,43.167,43.579,0.2976,0.3252,0.3051,0.3384,0.3216
94,12/04/21 11:30:00 AM,0.3040,0.000,42.984,100.000,51.282,51.501,43.214,43.853,0.2976,0.3252,0.3051,0.3384,0.3216
95,12/04/21 12:00:00 PM,0.3040,0.000,44.082,100.000,51.282,51.501,44.127,44.719,0.2976,0.3252,0.3048,0.3380,0.3216
96,12/04/21 12:30:00 PM,0.3040,0.000,45.579,100.000,51.282,51.501,45.941,45.761,0.2976,0.3252,0.3048,0.3384,0.3211
97,12/04/21 01:00:00 PM,0.3037,0.000,49.338,100.000,51.282,51.544,48.493,48.717,0.2976,0.3252,0.3048,0.3380,0.3211
98,12/04/21 01:30:00 PM,0.3037,0.008,48.004,99.900,51.282,51.589,48.049,48.450,0.2979,0.3252,0.3048,0.3384,0.3211
99,12/04/21 02:00:00 PM,0.3037,0.000,47.154,97.900,51.282,51.589,47.334,47.602,0.2976,0.3252,0.3048,0.3380,0.3216
100,12/04/21 02:30:00 PM,0.3037,0.000,47.736,96.400,51.282,51.633,47.781,48.094,0.2976,0.3249,0.3051,0.3380,0.3211
101,12/04/21 03:00:00 PM,0.3033,0.000,47.602,95.800,51.282,51.678,47.736,47.736,0.2976,0.3249,0.3048,0.3380,0.3211
102,12/04/21 03:30:00 PM,0.3033,0.000,47.557,95.800,51.282,51.721,47.736,47.647,0.2976,0.3249,0.3048,0.3376,0.3211
103,12/04/21 04:00:00 PM,0.3033,0.000,47.064,95.700,51.237,51.721,47.289,47.019,0.2976,0.3249,0.3048,0.3380,0.3211
104,12/04/21 04:30:00 PM,0.3033,0.000,47.019,95.900,51.237,51.764,47.289,46.796,0.2973,0.3244,0.3048,0.3376,0.3211
105,12/04/21 05:00:00 PM,0.3033,0.000,46.526,96.400,51.193,51.764,46.841,46.481,0.2976,0.3244,0.3048,0.3376,0.3211
106,12/04/21 05:30:00 PM,0.3033,0.000,46.661,96.800,51.193,51.809,47.064,46.526,0.2973,0.3244,0.3048,0.3376,0.3211
107,12/04/21 06:00:00 PM,0.3029,0.000,46.391,97.200,51.193,51.809,46.796,46.301,0.2973,0.3244,0.3048,0.3376,0.3211
108,12/04/21 06:30:00 PM,0.3029,0.000,46.571,96.900,51.193,51.852,46.974,46.301,0.2973,0.3240,0.3048,0.3371,0.3211
109,12/04/21 07:00:00 PM,0.3029,0.000,46.661,97.100,51.193,51.852,47.289,46.391,0.2973,0.3244,0.3043,0.3371,0.3207
110,12/04/21 07:30:00 PM,0.3029,0.000,46.841,97.300,51.193,51.852,47.244,46.661,0.2973,0.3244,0.3048,0.3371,0.3211
111,12/04/21 08:00:00 PM,0.3026,0.000,46.931,97.500,51.193,51.852,47.377,46.796,0.2973,0.3240,0.3043,0.3371,0.3211
112,12/04/21 08:30:00 PM,0.3026,0.000,47.109,97.700,51.193,51.895,47.512,46.886,0.2973,0.3240,0.3048,0.3371,0.3211
113,12/04/21 09:00:00 PM,0.3026,0.000,47.199,97.900,51.193,51.895,47.691,47.019,0.2973,0.3240,0.3048,0.3367,0.3211
114,12/04/21 09:30:00 PM,0.3026,0.000,47.422,97.900,51.148,51.895,47.826,47.199,0.2973,0.3240,0.3048,0.3371,0.3211
115,12/04/21 10:00:00 PM,0.3026,0.000,47.512,98.100,51.148,51.940,47.826,47.377,0.2973,0.3240,0.3043,0.3367,0.3207
116,12/04/21 10:30:00 PM,0.3026,0.000,47.244,98.400,51.148,51.940,47.467,47.244,0.2973,0.3240,0.3043,0.3367,0.3207
117,12/04/21 11:00:00 PM,0.3022,0.000,47.244,98.800,51.148,51.940,47.467,47.244,0.2973,0.3240,0.3043,0.3367,0.3207
118,12/04/21 11:30:00 PM,0.3026,0.000,47.199,99.200,51.148,51.940,47.512,47.244,0.2973,0.3240,0.3048,0.3367,0.3207
119,12/05/21 12:00:00 AM,0.3022,0.000,47.199,99.400,51.148,51.940,47.467,47.199,0.2973,0.3240,0.3043,0.3361,0.3207
120,12/05/21 12:30:00 AM,0.3022,0.000,47.199,99.600,51.148,51.984,47.377,47.199,0.2970,0.3235,0.3048,0.3361,0.3207
121,12/05/21 01:00:00 AM,0.3022,0.000,47.064,99.700,51.148,51.984,47.289,47.109,0.2973,0.3235,0.3048,0.3367,0.3207
122,12/05/21 01:30:00 AM,0.3026,0.000,46.706,99.900,51.148,51.984,46.886,46.841,0.2973,0.3231,0.3048,0.3361,0.3204
123,12/05/21 02:00:00 AM,0.3026,0.008,46.526,100.000,51.148,51.984,46.751,46.661,0.2976,0.3235,0.3048,0.3367,0.3207
124,12/05/21 02:30:00 AM,0.3022,0.000,46.166,100.000,51.148,52.029,46.346,46.391,0.2973,0.3231,0.3048,0.3361,0.3204
125,12/05/21 03:00:00 AM,0.3026,0.000,44.400,100.000,51.148,52.029,44.445,44.809,0.2976,0.3228,0.3048,0.3361,0.3199
126,12/05/21 03:30:00 AM,0.3022,0.000,42.892,100.000,51.105,52.029,42.984,43.351,0.2973,0.3228,0.3048,0.3361,0.3199
127,12/05/21 04:00:00 AM,0.3022,0.000,41.322,100.000,51.105,52.029,41.416,41.787,0.2976,0.3228,0.3051,0.3361,0.3199
128,12/05/21 04:30:00 AM,0.3022,0.000,38.700,100.000,51.148,52.029,38.937,39.360,0.2973,0.3223,0.3051,0.3357,0.3204
129,12/05/21 05:00:00 AM,0.3022,0.000,37.989,100.000,51.148,52.029,38.464,38.464,0.2973,0.3223,0.3048,0.3357,0.3199
130,12/05/21 05:30:00 AM,0.3022,0.000,37.798,100.000,51.105,52.029,38.464,37.989,0.2973,0.3228,0.3051,0.3357,0.3204
131,12/05/21 06:00:00 AM,0.3019,0.000,37.942,99.800,51.105,51.984,38.511,38.037,0.2973,0.3228,0.3048,0.3357,0.3199
132,12/05/21 06:30:00 AM,0.3019,0.000,36.505,99.400,51.105,51.984,37.130,36.603,0.2973,0.3223,0.3048,0.3352,0.3199
133,12/05/21 07:00:00 AM,0.3019,0.000,36.072,99.200,51.105,51.940,36.891,36.072,0.2973,0.3223,0.3048,0.3348,0.3199
134,12/05/21 07:30:00 AM,0.3019,0.000,35.928,98.800,51.105,51.895,36.939,35.782,0.2973,0.3228,0.3051,0.3352,0.3204
135,12/05/21 08:00:00 AM,0.3019,0.000,34.810,98.100,51.105,51.852,35.638,34.858,0.2970,0.3223,0.3048,0.3352,0.3199
136,12/05/21 08:30:00 AM,0.3015,0.000,36.072,97.700,51.148,51.852,37.416,35.733,0.2970,0.3223,0.3048,0.3352,0.3204
137,12/05/21 09:00:00 AM,0.3015,0.000,38.037,96.800,51.148,51.809,40.719,37.274,0.2970,0.3223,0.3048,0.3352,0.3199
138,12/05/21 09:30:00 AM,0.3015,0.000,41.090,94.200,51.148,51.721,42.202,38.368,0.2973,0.3219,0.3048,0.3352,0.3199
139,12/05/21 10:00:00 AM,0.3015,0.000,43.763,90.000,51.148,51.721,44.400,40.251,0.2970,0.3223,0.3043,0.3348,0.3199
140,12/05/21 10:30:00 AM,0.3015,0.000,45.986,88.000,51.148,51.633,45.579,45.714,0.2970,0.3223,0.3048,0.3352,0.3204
141,12/05/21 11:00:00 AM,0.3015,0.000,46.481,83.900,51.148,51.633,46.211,44.537,0.2970,0.3223,0.3043,0.3348,0.3204
142,12/05/21 11:30:00 AM,0.3015,0.000,46.076,85.700,51.148,51.589,45.941,45.399,0.2970,0.3223,0.3043,0.3352,0.3204
143,12/05/21 12:00:00 PM,0.3011,0.000,48.182,84.700,51.148,51.544,47.334,47.289,0.2970,0.3219,0.3043,0.3348,0.3204
144,12/05/21 12:30:00 PM,0.3011,0.000,47.244,84.700,51.148,51.544,48.272,46.121,0.2970,0.3223,0.3040,0.3348,0.3204
145,12/05/21 01:00:00 PM,0.3011,0.000,47.512,82.600,51.148,51.501,46.841,45.217,0.2970,0.3223,0.3037,0.3348,0.3204
146,12/05/21 01:30:00 PM,0.3008,0.008,45.986,85.000,51.148,51.501,45.941,45.761,0.2966,0.3223,0.3037,0.3348,0.3204
147,12/05/21 02:00:00 PM,0.3008,0.000,44.445,86.500,51.105,51.501,44.582,44.764,0.2966,0.3219,0.3037,0.3348,0.3199
148,12/05/21 02:30:00 PM,0.3008,0.000,44.582,86.900,51.105,51.501,44.627,44.901,0.2966,0.3219,0.3037,0.3343,0.3204
149,12/05/21 03:00:00 PM,0.3008,0.000,43.122,88.500,51.148,51.501,43.396,43.259,0.2966,0.3219,0.3037,0.3343,0.3199
150,12/05/21 03:30:00 PM,0.3008,0.000,42.755,91.100,51.105,51.501,43.075,42.800,0.2966,0.3219,0.3037,0.3343,0.3199
151,12/05/21 04:00:00 PM,0.3008,0.000,41.554,92.000,51.105,51.501,41.740,41.601,0.2966,0.3219,0.3037,0.3343,0.3199
152,12/05/21 04:30:00 PM,0.3005,0.000,40.532,93.700,51.105,51.501,40.626,40.579,0.2966,0.3219,0.3037,0.3343,0.3199
153,12/05/21 05:00:00 PM,0.3005,0.000,38.037,94.800,51.062,51.458,38.273,38.131,0.2963,0.3219,0.3033,0.3343,0.3199
154,12/05/21 05:30:00 PM,0.3005,0.000,37.989,95.700,51.062,51.413,38.368,37.989,0.2963,0.3219,0.3033,0.3343,0.3199
155,12/05/21 06:00:00 PM,0.3005,0.000,37.846,96.500,51.062,51.413,38.368,37.798,0.2963,0.3219,0.3033,0.3339,0.3199
156,12/05/21 06:30:00 PM,0.3001,0.000,37.560,96.900,51.062,51.370,38.084,37.513,0.2963,0.3219,0.3037,0.3343,0.3199
157,12/05/21 07:00:00 PM,0.3001,0.000,37.274,97.300,51.062,51.370,37.893,37.081,0.2966,0.3219,0.3033,0.3339,0.3199
158,12/05/21 07:30:00 PM,0.3005,0.000,37.179,97.700,51.062,51.325,37.465,37.225,0.2963,0.3219,0.3033,0.3343,0.3199
159,12/05/21 08:00:00 PM,0.3001,0.000,36.891,98.000,51.017,51.282,37.274,36.939,0.2963,0.3219,0.3033,0.3339,0.3195
160,12/05/21 08:30:00 PM,0.3001,0.000,37.560,98.300,51.017,51.237,37.846,37.513,0.2963,0.3219,0.3033,0.3343,0.3195
161,12/05/21 09:00:00 PM,0.3001,0.000,36.891,98.400,51.017,51.193,37.130,36.986,0.2963,0.3219,0.3033,0.3339,0.3199
162,12/05/21 09:30:00 PM,0.3001,0.000,37.702,98.600,51.017,51.148,38.037,37.751,0.2963,0.3219,0.3033,0.3339,0.3199
163,12/05/21 10:00:00 PM,0.3001,0.000,38.368,98.900,51.017,51.105,38.557,38.606,0.2963,0.3219,0.3033,0.3335,0.3199
164,12/05/21 10:30:00 PM,0.3001,0.000,38.464,99.000,51.017,51.105,38.653,38.653,0.2963,0.3219,0.3033,0.3339,0.3195
165,12/05/21 11:00:00 PM,0.3001,0.000,38.131,99.100,51.017,51.062,38.368,38.557,0.2963,0.3219,0.3033,0.3339,0.3199
166,12/05/21 11:30:00 PM,0.2997,0.000,38.131,99.200,51.017,51.017,38.368,38.415,0.2963,0.3219,0.3033,0.3335,0.3199
167,12/06/21 12:00:00 AM,0.3001,0.000,39.736,99.400,51.017,51.017,40.111,39.690,0.2963,0.3219,0.3029,0.3335,0.3199
168,12/06/21 12:30:00 AM,0.3001,0.000,38.937,99.400,51.017,50.974,39.220,39.173,0.2963,0.3219,0.3033,0.3335,0.3199
169,12/06/21 01:00:00 AM,0.3001,0.000,38.937,99.500,51.017,50.929,39.173,39.220,0.2963,0.3219,0.3033,0.3339,0.3199
170,12/06/21 01:30:00 AM,0.2997,0.000,40.392,99.700,51.017,50.929,40.811,40.485,0.2963,0.3219,0.3033,0.3335,0.3195
