"Plot Title: slicesm"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336768, LBL: 100)","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336769, LBL: 100)","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336774, LBL: 20)","Water Content, m³/m³ (LGR S/N: 21186454, SEN S/N: 21336781, LBL: 20)"
56,03/26/22 04:30:01 AM,0.3711,0.3793,0.3902,0.3526
57,03/26/22 05:00:01 AM,0.3705,0.3793,0.3909,0.3526
58,03/26/22 05:30:01 AM,0.3711,0.3798,0.3902,0.3526
59,03/26/22 06:00:01 AM,0.3705,0.3793,0.3902,0.3521
60,03/26/22 06:30:01 AM,0.3711,0.3793,0.3902,0.3521
61,03/26/22 07:00:01 AM,0.3711,0.3793,0.3915,0.3526
62,03/26/22 07:30:01 AM,0.3711,0.3793,0.3909,0.3526
63,03/26/22 08:00:01 AM,0.3705,0.3798,0.3909,0.3526
64,03/26/22 08:30:01 AM,0.3705,0.3793,0.3915,0.3526
65,03/26/22 09:00:01 AM,0.3705,0.3798,0.3915,0.3526
66,03/26/22 09:30:01 AM,0.3711,0.3798,0.3915,0.3531
67,03/26/22 10:00:01 AM,0.3705,0.3798,0.3909,0.3531
68,03/26/22 10:30:01 AM,0.3705,0.3798,0.3915,0.3531
69,03/26/22 11:00:01 AM,0.3705,0.3798,0.3915,0.3531
70,03/26/22 11:30:01 AM,0.3705,0.3798,0.3909,0.3531
71,03/26/22 12:00:01 PM,0.3705,0.3793,0.3915,0.3531
72,03/26/22 12:30:01 PM,0.3705,0.3798,0.3915,0.3531
73,03/26/22 01:00:01 PM,0.3705,0.3793,0.3909,0.3531
74,03/26/22 01:30:01 PM,0.3705,0.3798,0.3915,0.3531
75,03/26/22 02:00:01 PM,0.3705,0.3798,0.3920,0.3531
76,03/26/22 02:30:01 PM,0.3705,0.3793,0.3915,0.3531
77,03/26/22 03:00:01 PM,0.3699,0.3793,0.3920,0.3537
78,03/26/22 03:30:01 PM,0.3699,0.3798,0.3915,0.3537
79,03/26/22 04:00:01 PM,0.3699,0.3798,0.3915,0.3537
80,03/26/22 04:30:01 PM,0.3699,0.3793,0.3915,0.3537
81,03/26/22 05:00:01 PM,0.3699,0.3798,0.3920,0.3531
82,03/26/22 05:30:01 PM,0.3699,0.3793,0.3920,0.3537
83,03/26/22 06:00:01 PM,0.3699,0.3793,0.3915,0.3537
84,03/26/22 06:30:01 PM,0.3699,0.3787,0.3915,0.3537
85,03/26/22 07:00:01 PM,0.3705,0.3798,0.3915,0.3531
86,03/26/22 07:30:01 PM,0.3699,0.3793,0.3920,0.3537
87,03/26/22 08:00:01 PM,0.3705,0.3793,0.3915,0.3537
88,03/26/22 08:30:01 PM,0.3699,0.3787,0.3920,0.3537
89,03/26/22 09:00:01 PM,0.3699,0.3793,0.3920,0.3537
90,03/26/22 09:30:01 PM,0.3699,0.3793,0.3915,0.3537
91,03/26/22 10:00:01 PM,0.3699,0.3787,0.3920,0.3537
92,03/26/22 10:30:01 PM,0.3705,0.3793,0.3920,0.3537
93,03/26/22 11:00:01 PM,0.3699,0.3793,0.3915,0.3537
94,03/26/22 11:30:01 PM,0.3705,0.3787,0.3915,0.3537
95,03/27/22 12:00:01 AM,0.3699,0.3787,0.3915,0.3537
96,03/27/22 12:30:01 AM,0.3705,0.3793,0.3920,0.3537
97,03/27/22 01:00:01 AM,0.3699,0.3787,0.3915,0.3537
98,03/27/22 01:30:01 AM,0.3699,0.3787,0.3920,0.3537
99,03/27/22 02:00:01 AM,0.3705,0.3793,0.3920,0.3537
100,03/27/22 02:30:01 AM,0.3705,0.3793,0.3920,0.3537
101,03/27/22 03:00:01 AM,0.3699,0.3787,0.3920,0.3537
102,03/27/22 03:30:01 AM,0.3705,0.3787,0.3920,0.3537
103,03/27/22 04:00:01 AM,0.3705,0.3793,0.3927,0.3537
104,03/27/22 04:30:01 AM,0.3705,0.3793,0.3920,0.3537
105,03/27/22 05:00:01 AM,0.3705,0.3787,0.3920,0.3542
106,03/27/22 05:30:01 AM,0.3699,0.3793,0.3927,0.3537
107,03/27/22 06:00:01 AM,0.3705,0.3793,0.3920,0.3537
108,03/27/22 06:30:01 AM,0.3705,0.3787,0.3920,0.3537
109,03/27/22 07:00:01 AM,0.3705,0.3793,0.3927,0.3537
110,03/27/22 07:30:01 AM,0.3705,0.3787,0.3927,0.3542
111,03/27/22 08:00:01 AM,0.3705,0.3787,0.3927,0.3537
112,03/27/22 08:30:01 AM,0.3705,0.3793,0.3927,0.3542
113,03/27/22 09:00:01 AM,0.3705,0.3793,0.3920,0.3542
114,03/27/22 09:30:01 AM,0.3705,0.3787,0.3927,0.3542
115,03/27/22 10:00:01 AM,0.3705,0.3793,0.3927,0.3542
116,03/27/22 10:30:01 AM,0.3705,0.3793,0.3915,0.3537
117,03/27/22 11:00:01 AM,0.3705,0.3793,0.3927,0.3537
118,03/27/22 11:30:01 AM,0.3705,0.3793,0.3927,0.3537
119,03/27/22 12:00:01 PM,0.3705,0.3787,0.3920,0.3537
120,03/27/22 12:30:01 PM,0.3705,0.3793,0.3927,0.3542
121,03/27/22 01:00:01 PM,0.3705,0.3787,0.3920,0.3542
122,03/27/22 01:30:01 PM,0.3705,0.3793,0.3927,0.3542
123,03/27/22 02:00:01 PM,0.3705,0.3793,0.3920,0.3542
124,03/27/22 02:30:01 PM,0.3705,0.3787,0.3920,0.3542
125,03/27/22 03:00:01 PM,0.3705,0.3787,0.3927,0.3542
126,03/27/22 03:30:01 PM,0.3705,0.3793,0.3927,0.3542
127,03/27/22 04:00:01 PM,0.3705,0.3793,0.3920,0.3542
128,03/27/22 04:30:01 PM,0.3705,0.3793,0.3927,0.3542
129,03/27/22 05:00:01 PM,0.3705,0.3787,0.3927,0.3542
130,03/27/22 05:30:01 PM,0.3705,0.3787,0.3927,0.3542
131,03/27/22 06:00:01 PM,0.3705,0.3793,0.3927,0.3542
132,03/27/22 06:30:01 PM,0.3705,0.3787,0.3920,0.3542
133,03/27/22 07:00:01 PM,0.3699,0.3787,0.3920,0.3542
134,03/27/22 07:30:01 PM,0.3699,0.3793,0.3927,0.3542
135,03/27/22 08:00:01 PM,0.3699,0.3787,0.3920,0.3542
136,03/27/22 08:30:01 PM,0.3705,0.3787,0.3927,0.3542
137,03/27/22 09:00:01 PM,0.3705,0.3787,0.3920,0.3542
138,03/27/22 09:30:01 PM,0.3705,0.3793,0.3927,0.3542
139,03/27/22 10:00:01 PM,0.3705,0.3787,0.3927,0.3542
140,03/27/22 10:30:01 PM,0.3705,0.3793,0.3927,0.3542
141,03/27/22 11:00:01 PM,0.3705,0.3787,0.3927,0.3542
142,03/27/22 11:30:01 PM,0.3705,0.3787,0.3927,0.3542
143,03/28/22 12:00:01 AM,0.3705,0.3793,0.3920,0.3542
144,03/28/22 12:30:01 AM,0.3699,0.3787,0.3927,0.3547
145,03/28/22 01:00:01 AM,0.3705,0.3793,0.3927,0.3547
146,03/28/22 01:30:01 AM,0.3699,0.3787,0.3927,0.3542
147,03/28/22 02:00:01 AM,0.3705,0.3793,0.3920,0.3542
148,03/28/22 02:30:01 AM,0.3705,0.3787,0.3927,0.3542
149,03/28/22 03:00:01 AM,0.3705,0.3787,0.3927,0.3542
150,03/28/22 03:30:01 AM,0.3705,0.3793,0.3927,0.3542
151,03/28/22 04:00:01 AM,0.3699,0.3787,0.3920,0.3542
152,03/28/22 04:30:01 AM,0.3705,0.3793,0.3920,0.3542
153,03/28/22 05:00:01 AM,0.3705,0.3793,0.3927,0.3547
154,03/28/22 05:30:01 AM,0.3705,0.3793,0.3920,0.3542
155,03/28/22 06:00:01 AM,0.3705,0.3793,0.3920,0.3537
156,03/28/22 06:30:01 AM,0.3705,0.3787,0.3920,0.3542
157,03/28/22 07:00:01 AM,0.3705,0.3793,0.3927,0.3542
158,03/28/22 07:30:01 AM,0.3705,0.3793,0.3927,0.3542
159,03/28/22 08:00:01 AM,0.3705,0.3793,0.3920,0.3542
160,03/28/22 08:30:01 AM,0.3705,0.3793,0.3927,0.3542
161,03/28/22 09:00:01 AM,0.3705,0.3787,0.3927,0.3542
162,03/28/22 09:30:01 AM,0.3705,0.3793,0.3920,0.3547
163,03/28/22 10:00:01 AM,0.3705,0.3793,0.3927,0.3547
164,03/28/22 10:30:01 AM,0.3705,0.3787,0.3927,0.3542
165,03/28/22 11:00:01 AM,0.3705,0.3793,0.3920,0.3542
166,03/28/22 11:30:01 AM,0.3705,0.3793,0.3920,0.3547
167,03/28/22 12:00:01 PM,0.3705,0.3787,0.3927,0.3547
168,03/28/22 12:30:01 PM,0.3705,0.3793,0.3920,0.3547
169,03/28/22 01:00:01 PM,0.3699,0.3793,0.3920,0.3547
170,03/28/22 01:30:01 PM,0.3705,0.3793,0.3920,0.3547
171,03/28/22 02:00:01 PM,0.3699,0.3793,0.3920,0.3547
172,03/28/22 02:30:01 PM,0.3705,0.3787,0.3920,0.3547
173,03/28/22 03:00:01 PM,0.3699,0.3793,0.3920,0.3547
174,03/28/22 03:30:01 PM,0.3705,0.3793,0.3927,0.3542
175,03/28/22 04:00:01 PM,0.3699,0.3793,0.3920,0.3547
176,03/28/22 04:30:01 PM,0.3699,0.3793,0.3920,0.3547
177,03/28/22 05:00:01 PM,0.3699,0.3793,0.3927,0.3547
178,03/28/22 05:30:01 PM,0.3699,0.3787,0.3927,0.3542
179,03/28/22 06:00:01 PM,0.3699,0.3787,0.3920,0.3542
180,03/28/22 06:30:01 PM,0.3699,0.3793,0.3927,0.3542
181,03/28/22 07:00:01 PM,0.3699,0.3787,0.3927,0.3542
182,03/28/22 07:30:01 PM,0.3705,0.3793,0.3927,0.3542
183,03/28/22 08:00:01 PM,0.3699,0.3793,0.3927,0.3542
184,03/28/22 08:30:01 PM,0.3699,0.3787,0.3927,0.3547
185,03/28/22 09:00:01 PM,0.3699,0.3787,0.3927,0.3547
186,03/28/22 09:30:01 PM,0.3705,0.3787,0.3920,0.3547
187,03/28/22 10:00:01 PM,0.3699,0.3793,0.3920,0.3542
188,03/28/22 10:30:01 PM,0.3699,0.3793,0.3927,0.3542
189,03/28/22 11:00:01 PM,0.3699,0.3787,0.3927,0.3542
190,03/28/22 11:30:01 PM,0.3699,0.3787,0.3920,0.3542
191,03/29/22 12:00:01 AM,0.3699,0.3793,0.3920,0.3542
192,03/29/22 12:30:01 AM,0.3705,0.3793,0.3920,0.3542
193,03/29/22 01:00:01 AM,0.3699,0.3793,0.3920,0.3542
194,03/29/22 01:30:01 AM,0.3699,0.3787,0.3927,0.3542
195,03/29/22 02:00:01 AM,0.3705,0.3793,0.3920,0.3542
196,03/29/22 02:30:01 AM,0.3699,0.3793,0.3920,0.3537
197,03/29/22 03:00:01 AM,0.3705,0.3793,0.3920,0.3542
198,03/29/22 03:30:01 AM,0.3699,0.3793,0.3927,0.3542
199,03/29/22 04:00:01 AM,0.3699,0.3793,0.3927,0.3542
200,03/29/22 04:30:01 AM,0.3699,0.3793,0.3927,0.3542
201,03/29/22 05:00:01 AM,0.3699,0.3787,0.3927,0.3542
202,03/29/22 05:30:01 AM,0.3699,0.3793,0.3920,0.3542
203,03/29/22 06:00:01 AM,0.3705,0.3793,0.3920,0.3542
204,03/29/22 06:30:01 AM,0.3699,0.3793,0.3920,0.3542
205,03/29/22 07:00:01 AM,0.3699,0.3787,0.3927,0.3537
206,03/29/22 07:30:01 AM,0.3699,0.3787,0.3920,0.3542
207,03/29/22 08:00:01 AM,0.3699,0.3787,0.3920,0.3542
208,03/29/22 08:30:01 AM,0.3699,0.3787,0.3927,0.3542
209,03/29/22 09:00:01 AM,0.3699,0.3793,0.3920,0.3542
210,03/29/22 09:30:01 AM,0.3705,0.3793,0.3915,0.3542
211,03/29/22 10:00:01 AM,0.3705,0.3793,0.3915,0.3542
212,03/29/22 10:30:01 AM,0.3699,0.3793,0.3920,0.3542
213,03/29/22 11:00:01 AM,0.3705,0.3793,0.3915,0.3542
214,03/29/22 11:30:01 AM,0.3699,0.3787,0.3920,0.3537
215,03/29/22 12:00:01 PM,0.3705,0.3787,0.3920,0.3537
216,03/29/22 12:30:01 PM,0.3699,0.3793,0.3920,0.3537
217,03/29/22 01:00:01 PM,0.3699,0.3793,0.3915,0.3537
218,03/29/22 01:30:01 PM,0.3699,0.3793,0.3920,0.3537
219,03/29/22 02:00:01 PM,0.3699,0.3793,0.3927,0.3537
220,03/29/22 02:30:01 PM,0.3699,0.3787,0.3920,0.3537
221,03/29/22 03:00:01 PM,0.3699,0.3793,0.3927,0.3537
222,03/29/22 03:30:01 PM,0.3699,0.3787,0.3927,0.3537
223,03/29/22 04:00:01 PM,0.3699,0.3793,0.3920,0.3537
224,03/29/22 04:30:01 PM,0.3699,0.3787,0.3915,0.3537
225,03/29/22 05:00:01 PM,0.3699,0.3793,0.3915,0.3537
226,03/29/22 05:30:01 PM,0.3699,0.3787,0.3915,0.3537
227,03/29/22 06:00:01 PM,0.3699,0.3793,0.3920,0.3537
228,03/29/22 06:30:01 PM,0.3699,0.3793,0.3920,0.3537
229,03/29/22 07:00:01 PM,0.3699,0.3787,0.3920,0.3542
230,03/29/22 07:30:01 PM,0.3699,0.3793,0.3920,0.3542
231,03/29/22 08:00:01 PM,0.3699,0.3787,0.3915,0.3542
232,03/29/22 08:30:01 PM,0.3699,0.3793,0.3915,0.3542
233,03/29/22 09:00:01 PM,0.3699,0.3787,0.3920,0.3542
234,03/29/22 09:30:01 PM,0.3699,0.3787,0.3920,0.3542
235,03/29/22 10:00:01 PM,0.3699,0.3787,0.3920,0.3542
236,03/29/22 10:30:01 PM,0.3699,0.3787,0.3920,0.3542
237,03/29/22 11:00:01 PM,0.3699,0.3787,0.3920,0.3542
238,03/29/22 11:30:01 PM,0.3699,0.3787,0.3915,0.3537
239,03/30/22 12:00:01 AM,0.3699,0.3787,0.3920,0.3542
240,03/30/22 12:30:01 AM,0.3699,0.3787,0.3915,0.3542
241,03/30/22 01:00:01 AM,0.3699,0.3787,0.3915,0.3537
242,03/30/22 01:30:01 AM,0.3699,0.3793,0.3915,0.3542
243,03/30/22 02:00:01 AM,0.3699,0.3787,0.3915,0.3542
244,03/30/22 02:30:01 AM,0.3699,0.3787,0.3915,0.3542
245,03/30/22 03:00:01 AM,0.3699,0.3787,0.3915,0.3542
246,03/30/22 03:30:01 AM,0.3699,0.3787,0.3915,0.3542
247,03/30/22 04:00:01 AM,0.3699,0.3787,0.3920,0.3537
248,03/30/22 04:30:01 AM,0.3699,0.3780,0.3920,0.3537
249,03/30/22 05:00:01 AM,0.3699,0.3787,0.3915,0.3537
250,03/30/22 05:30:01 AM,0.3699,0.3787,0.3915,0.3537
251,03/30/22 06:00:01 AM,0.3694,0.3787,0.3920,0.3542
252,03/30/22 06:30:01 AM,0.3699,0.3787,0.3920,0.3542
253,03/30/22 07:00:01 AM,0.3699,0.3787,0.3920,0.3542
254,03/30/22 07:30:01 AM,0.3699,0.3787,0.3915,0.3542
255,03/30/22 08:00:01 AM,0.3699,0.3787,0.3915,0.3542
256,03/30/22 08:30:01 AM,0.3699,0.3787,0.3920,0.3537
257,03/30/22 09:00:01 AM,0.3699,0.3787,0.3920,0.3537
258,03/30/22 09:30:01 AM,0.3699,0.3787,0.3915,0.3537
259,03/30/22 10:00:01 AM,0.3699,0.3787,0.3915,0.3537
260,03/30/22 10:30:01 AM,0.3694,0.3780,0.3915,0.3537
261,03/30/22 11:00:01 AM,0.3699,0.3787,0.3920,0.3537
262,03/30/22 11:30:01 AM,0.3699,0.3780,0.3915,0.3537
263,03/30/22 12:00:01 PM,0.3699,0.3787,0.3915,0.3542
264,03/30/22 12:30:01 PM,0.3699,0.3787,0.3920,0.3542
265,03/30/22 01:00:01 PM,0.3699,0.3780,0.3915,0.3537
266,03/30/22 01:30:01 PM,0.3699,0.3787,0.3920,0.3537
267,03/30/22 02:00:01 PM,0.3699,0.3787,0.3915,0.3537
268,03/30/22 02:30:01 PM,0.3699,0.3787,0.3915,0.3537
269,03/30/22 03:00:01 PM,0.3699,0.3780,0.3915,0.3537
270,03/30/22 03:30:01 PM,0.3699,0.3787,0.3915,0.3537
271,03/30/22 04:00:01 PM,0.3699,0.3787,0.3920,0.3537
272,03/30/22 04:30:01 PM,0.3699,0.3787,0.3909,0.3542
273,03/30/22 05:00:01 PM,0.3694,0.3787,0.3915,0.3537
274,03/30/22 05:30:01 PM,0.3699,0.3787,0.3915,0.3531
275,03/30/22 06:00:01 PM,0.3694,0.3780,0.3909,0.3537
276,03/30/22 06:30:01 PM,0.3699,0.3787,0.3915,0.3537
277,03/30/22 07:00:01 PM,0.3694,0.3787,0.3920,0.3537
278,03/30/22 07:30:01 PM,0.3694,0.3780,0.3909,0.3537
279,03/30/22 08:00:01 PM,0.3694,0.3780,0.3909,0.3537
280,03/30/22 08:30:01 PM,0.3694,0.3780,0.3909,0.3537
281,03/30/22 09:00:01 PM,0.3694,0.3780,0.3909,0.3537
282,03/30/22 09:30:01 PM,0.3694,0.3780,0.3915,0.3537
283,03/30/22 10:00:01 PM,0.3694,0.3780,0.3909,0.3537
284,03/30/22 10:30:01 PM,0.3694,0.3780,0.3909,0.3537
285,03/30/22 11:00:01 PM,0.3694,0.3780,0.3915,0.3537
286,03/30/22 11:30:01 PM,0.3694,0.3787,0.3909,0.3537
287,03/31/22 12:00:01 AM,0.3694,0.3780,0.3909,0.3537
288,03/31/22 12:30:01 AM,0.3694,0.3780,0.3915,0.3537
289,03/31/22 01:00:01 AM,0.3694,0.3780,0.3915,0.3537
290,03/31/22 01:30:01 AM,0.3694,0.3787,0.3909,0.3537
291,03/31/22 02:00:01 AM,0.3694,0.3780,0.3909,0.3537
292,03/31/22 02:30:01 AM,0.3694,0.3780,0.3909,0.3537
293,03/31/22 03:00:01 AM,0.3694,0.3780,0.3915,0.3537
294,03/31/22 03:30:01 AM,0.3694,0.3780,0.3915,0.3531
295,03/31/22 04:00:01 AM,0.3694,0.3780,0.3909,0.3537
296,03/31/22 04:30:01 AM,0.3694,0.3780,0.3909,0.3537
297,03/31/22 05:00:01 AM,0.3694,0.3780,0.3909,0.3531
298,03/31/22 05:30:01 AM,0.3694,0.3780,0.3909,0.3537
299,03/31/22 06:00:01 AM,0.3694,0.3780,0.3909,0.3537
300,03/31/22 06:30:01 AM,0.3694,0.3780,0.3909,0.3537
301,03/31/22 07:00:01 AM,0.3694,0.3775,0.3909,0.3537
302,03/31/22 07:30:01 AM,0.3694,0.3780,0.3909,0.3537
303,03/31/22 08:00:01 AM,0.3694,0.3780,0.3915,0.3537
304,03/31/22 08:30:01 AM,0.3694,0.3780,0.3909,0.3531
305,03/31/22 09:00:01 AM,0.3694,0.3780,0.3909,0.3537
306,03/31/22 09:30:01 AM,0.3694,0.3780,0.3915,0.3537
307,03/31/22 10:00:01 AM,0.3694,0.3780,0.3909,0.3537
308,03/31/22 10:30:01 AM,0.3694,0.3775,0.3915,0.3537
309,03/31/22 11:00:01 AM,0.3694,0.3780,0.3915,0.3537
310,03/31/22 11:30:01 AM,0.3694,0.3780,0.3909,0.3537
311,03/31/22 12:00:01 PM,0.3688,0.3775,0.3909,0.3537
312,03/31/22 12:30:01 PM,0.3694,0.3780,0.3915,0.3537
313,03/31/22 01:00:01 PM,0.3694,0.3775,0.3915,0.3531
314,03/31/22 01:30:01 PM,0.3688,0.3775,0.3915,0.3537
315,03/31/22 02:00:01 PM,0.3688,0.3775,0.3915,0.3537
316,03/31/22 02:30:01 PM,0.3688,0.3780,0.3902,0.3531
317,03/31/22 03:00:01 PM,0.3688,0.3775,0.3909,0.3537
318,03/31/22 03:30:01 PM,0.3694,0.3780,0.3909,0.3537
319,03/31/22 04:00:01 PM,0.3688,0.3775,0.3915,0.3537
320,03/31/22 04:30:01 PM,0.3688,0.3780,0.3909,0.3537
321,03/31/22 05:00:01 PM,0.3688,0.3775,0.3915,0.3537
322,03/31/22 05:30:01 PM,0.3688,0.3780,0.3915,0.3531
323,03/31/22 06:00:01 PM,0.3688,0.3780,0.3915,0.3531
324,03/31/22 06:30:01 PM,0.3688,0.3780,0.3915,0.3537
325,03/31/22 07:00:01 PM,0.3688,0.3775,0.3909,0.3531
326,03/31/22 07:30:01 PM,0.3688,0.3775,0.3915,0.3537
327,03/31/22 08:00:01 PM,0.3688,0.3780,0.3915,0.3531
328,03/31/22 08:30:01 PM,0.3688,0.3775,0.3909,0.3531
329,03/31/22 09:00:01 PM,0.3688,0.3775,0.3902,0.3531
330,03/31/22 09:30:01 PM,0.3688,0.3780,0.3915,0.3531
331,03/31/22 10:00:01 PM,0.3688,0.3780,0.3915,0.3531
332,03/31/22 10:30:01 PM,0.3688,0.3775,0.3915,0.3531
333,03/31/22 11:00:01 PM,0.3688,0.3780,0.3909,0.3531
334,03/31/22 11:30:01 PM,0.3688,0.3775,0.3909,0.3531
335,04/01/22 12:00:01 AM,0.3688,0.3775,0.3915,0.3531
336,04/01/22 12:30:01 AM,0.3688,0.3775,0.3915,0.3531
337,04/01/22 01:00:01 AM,0.3688,0.3780,0.3909,0.3531
338,04/01/22 01:30:01 AM,0.3688,0.3775,0.3915,0.3531
339,04/01/22 02:00:01 AM,0.3688,0.3775,0.3902,0.3531
340,04/01/22 02:30:01 AM,0.3688,0.3775,0.3915,0.3531
341,04/01/22 03:00:01 AM,0.3688,0.3780,0.3909,0.3531
342,04/01/22 03:30:01 AM,0.3688,0.3780,0.3909,0.3531
343,04/01/22 04:00:01 AM,0.3688,0.3780,0.3902,0.3531
344,04/01/22 04:30:01 AM,0.3688,0.3780,0.3902,0.3531
345,04/01/22 05:00:01 AM,0.3688,0.3775,0.3909,0.3531
346,04/01/22 05:30:01 AM,0.3688,0.3780,0.3909,0.3531
347,04/01/22 06:00:01 AM,0.3688,0.3780,0.3902,0.3531
348,04/01/22 06:30:01 AM,0.3688,0.3780,0.3909,0.3531
349,04/01/22 07:00:01 AM,0.3694,0.3775,0.3902,0.3531
350,04/01/22 07:30:01 AM,0.3688,0.3775,0.3909,0.3531
351,04/01/22 08:00:01 AM,0.3694,0.3775,0.3909,0.3531
352,04/01/22 08:30:01 AM,0.3694,0.3775,0.3909,0.3531
353,04/01/22 09:00:01 AM,0.3688,0.3775,0.3902,0.3531
354,04/01/22 09:30:01 AM,0.3688,0.3780,0.3902,0.3526
355,04/01/22 10:00:01 AM,0.3688,0.3775,0.3902,0.3531
356,04/01/22 10:30:01 AM,0.3688,0.3775,0.3909,0.3531
357,04/01/22 11:00:01 AM,0.3694,0.3775,0.3902,0.3531
358,04/01/22 11:30:01 AM,0.3688,0.3775,0.3909,0.3531
359,04/01/22 12:00:01 PM,0.3688,0.3775,0.3902,0.3531
360,04/01/22 12:30:01 PM,0.3688,0.3780,0.3902,0.3531
361,04/01/22 01:00:01 PM,0.3688,0.3775,0.3895,0.3531
362,04/01/22 01:30:01 PM,0.3688,0.3780,0.3902,0.3531
363,04/01/22 02:00:01 PM,0.3688,0.3775,0.3902,0.3531
364,04/01/22 02:30:01 PM,0.3688,0.3775,0.3909,0.3531
365,04/01/22 03:00:01 PM,0.3688,0.3775,0.3909,0.3531
366,04/01/22 03:30:01 PM,0.3688,0.3775,0.3902,0.3531
367,04/01/22 04:00:01 PM,0.3688,0.3769,0.3902,0.3531
